Modell,MAD,MAE,RMSE,MAPE (%)
Holt-Winters,0.336365300078078,0.336365300078078,0.4216475582822424,4.4034423831941485
SARIMA,0.1903222565895929,0.1903222565895929,0.2740428018750387,2.497261500609782
